Algorithm,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Setup,549,75,76,94,81,90,101,97,101,107,105,109,104,100,106,105,102,102,97,94,96,108,101,100,105,162,133,126,129,189,151,176,161,147,140,219,174,155,154,203,131,116,124,149,153,166,162
EKGen,277,211,266,327,351,421,453,501,563,670,667,952,721,729,763,808,821,837,826,828,846,888,912,922,1026,1072,2185,1479,1378,1635,1652,2313,1760,2065,1861,1966,1858,1974,1759,2075,1797,1412,1558,2200,2123,2175,2065
DKGen,384,305,373,456,537,771,698,848,839,965,1020,1092,1101,1372,1425,1236,1281,1293,1260,1286,1354,1400,1368,1765,1608,1742,2059,2480,2608,2770,2868,3130,2922,2732,3042,3118,2948,3411,3803,2798,2423,2469,2790,3160,3420,3428,3183
Encrypt,432,393,517,642,901,778,909,937,1318,1160,1367,1342,1364,1398,1577,1633,1584,1726,1565,1769,1674,1963,1722,2004,2004,3674,2679,2745,3375,3219,3886,3759,3712,3291,4234,3702,3952,3681,3559,3211,2848,3301,3706,3866,4343,4425,3628
Verify,112,80,163,90,83,90,91,85,179,177,257,256,330,237,321,307,377,343,324,327,393,258,385,412,547,1127,647,639,880,703,942,880,865,728,1213,893,899,841,864,745,711,756,1166,903,1050,400,337
Decrypt,67,61,82,88,106,136,132,143,186,195,198,207,218,236,244,249,258,260,251,263,276,289,281,317,447,457,417,426,492,508,619,565,527,513,953,597,589,585,568,507,458,495,617,675,733,670,566
DelRequest,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ReKeyGen,11,11,13,12,13,15,13,14,15,14,15,14,14,13,14,13,13,13,11,11,12,11,11,11,49,15,13,12,16,15,20,15,14,13,23,13,14,13,13,10,9,10,12,12,13,12,10
ReEncrypt,11,12,13,12,13,12,13,12,16,15,15,14,14,14,13,13,14,13,11,11,11,10,11,11,28,14,12,13,15,14,19,15,14,12,22,14,13,13,13,11,10,12,13,11,13,12,11
VerifyRevocation,12,12,14,12,13,13,13,13,15,14,15,14,13,14,13,13,12,11,12,11,10,10,10,10,14,14,15,12,18,14,17,15,13,13,23,13,13,13,14,10,10,10,12,11,14,12,10
